EPA REGISTRATION NUMBER,PRODUCT NAME,RESTRICTED USE,COMPANY CODE,COMPANY NAME,PRODUCT TYPE,PC_NAME,PC_PCT
100-1103,Fomesafen Sodium Salt Aqueous Concentrate 48%,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Sodium salt of fomesafen,50.4
100-1107,Lambda-Cyhalothrin Manufacturing Cs,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,9.7
100-1111,Archer Insect Growth Regulator,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECT GROWTH REGULATOR, SEX ATTRACTANT OR FEEDING STIMULANT",Pyriproxyfen,1.3
100-1112,Warrior Insecticide With Zeon Technology,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,11.4
100-1113,Glyphosate Acid Technical,N,100,"SYNGENTA CROP PROTECTION, LLC","HERBICIDE TERRESTRIAL, HERBICIDE AQUATIC",Glyphosate,88
100-1119,Azoxystrobin Manufacturing Use Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,22.9
100-1120,Azoxystrobin Dry Technical Manufacturing Use Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,96
100-1128,Paclobutrazol Wet Paste Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",PLANT GROWTH REGULATOR,Paclobutrazol,86
100-1131,Callisto Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Mesotrione,40
100-1133,Trifloxysulfuron-Sodium Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,"2-Pyridinesulfonamide, N-[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]-3-(2,2,2-trifluoroethoxy)-, monosodium salt, monohydrate",94
100-1134,Monument 75Wg Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,"2-Pyridinesulfonamide, N-[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]-3-(2,2,2-trifluoroethoxy)-, monosodium salt, monohydrate",75
100-1139,Barricade 4Fl,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Prodiamine,40.7
100-1140,Mesotrione Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Mesotrione,96
100-1141,Dividend Extreme Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Metalaxyl-M / Difenoconazole,"1.93, 7.73"
100-1145,Mefenoxam 2E,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Metalaxyl-M,25.1
100-1146,Cga-173506/Cga-329351 0.26 Se,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Metalaxyl-M,"0.72, 2.21"
100-1147,Centric 40Wg,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Thiamethoxam,40
100-1150,Mesotrione Wet Paste,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Mesotrione,79
100-1153,Propiconazole 45Wp Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole,45
100-1154,Epi-Mek 0.15 Ec Miticide/Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Abamectin,2
100-1158,Maxim Mz,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, HERBICIDE TERRESTRIAL",Mancozeb / Fludioxonil,"5.7, 0.5"
100-1159,Dynasty,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,9.6
100-1161,Expert Herbicide,Y,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Atrazine / Glyphosate-isopropylammonium / S-Metolachlor,"22.9, 10.8, 18.6"
100-1162,Boundary 6.5Ec Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Metribuzin / S-Metolachlor,"13.8, 58.2"
100-1167,Glyphosate Acid Technical Dry,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Glyphosate,96
100-1169,Touchdown Total,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,"Glycine, N-(phosphonomethyl)- potassium salt",44.9
100-1171,Quadris Opti,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Chlorothalonil / Azoxystrobin,"46, 4.6"
100-1173,Discover Ng Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Clodinafop-propargyl   (CAS Reg. No.105512-06-9),6.4
100-1175,Lufenuron Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",TERMITICIDE,Lufenuron,99.3
100-1177,Dynasty Cst,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Metalaxyl-M / Azoxystrobin,"1.11, 3.32, 6.64"
100-1178,Quilt Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole / Azoxystrobin,"11.7, 7"
100-1183,Glyphosate Sl (600) Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC","HERBICIDE TERRESTRIAL, HERBICIDE AQUATIC","Glycine, N-(phosphonomethyl)- potassium salt",42.5
100-1185,Sequence Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,S-Metolachlor / Glyphosate,"29, 21.8"
100-1187,Uniform,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Metalaxyl-M / Azoxystrobin,"10.9, 28.2"
100-1190,Dynasty Pd,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Metalaxyl-M / Azoxystrobin,"2, 0.4, 3.2"
100-1191,Heritage Maxx,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,8.8
100-1192,Tilt Bravo Se,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Chlorothalonil / Propiconazole,"38.5, 2.9"
100-1193,Prodiamine 65 Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Prodiamine,65
100-1195,Apronmaxx Rfc,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Metalaxyl-M,"2.31, 3.46"
100-1198,Pinoxaden Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Pinoxaden,98
100-1199,Axial Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Pinoxaden,9.71
100-1202,Ridomil Gold Sl,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Metalaxyl-M,45.3
100-1204,Avicta 500 Fs,Y,100,"SYNGENTA CROP PROTECTION, LLC",NEMATICIDE,Abamectin,46.3
100-1207,Atrazine Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Atrazine,96
100-1210,Abamectin 0.011% Mg,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Abamectin,0.011
100-1211,Avicta 400 Fs,Y,100,"SYNGENTA CROP PROTECTION, LLC",NEMATICIDE,Abamectin,37
100-1213,Bicep Lite II Magnum Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Atrazine / S-Metolachlor,"28.13, 35.8"
100-1214,Bicep II Magnum Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Atrazine / S-Metolachlor,"33.7, 26.1"
100-1215,Dual II Magnum Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,S-Metolachlor,82.4
100-1216,Banner Heritage Maxx,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole / Azoxystrobin,"9.54, 5.73"
100-1218,Demon Max Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, TERMITICIDE",Cypermethrin,25.3
100-1219,Azoxystrobin H&G Fungicide Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,22.9
100-1220,Azoxystrobin Millbase Mup,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,50
100-1221,Ridomil Gold Bravo Sc,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Chlorothalonil / Metalaxyl-M,"33.1, 3.3"
100-1225,Quadris Xtra Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin / Cyproconazole,"18.2, 7.3"
100-1226,Alto 100Sl Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Cyproconazole,8.9
100-1228,Flumetralin Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",PLANT GROWTH REGULATOR,Flumetralin,99
100-1231,Instrata,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Chlorothalonil / Propiconazole,"1.2, 29.9, 4.7"
100-1232,Demand Ez Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,lambda-Cyhalothrin,2.43
100-1235,Atrazine Base MIX Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Atrazine,56.6
100-1236,Atrazine Wet Paste Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Atrazine,67.3
100-1240,Demand G Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,lambda-Cyhalothrin,0.045
100-1241,Palisade 2Ec,N,100,"SYNGENTA CROP PROTECTION, LLC",PLANT GROWTH REGULATOR,Trinexapac-ethyl,25.5
100-1242,Scholar Sc Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil,20.4
100-1245,Emamectin 5Sg Mg,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Emamectin benzoate,5
100-1246,Thiamethoxam 240 Sc Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,21.6
100-1247,Cruisermaxx,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, INSECTICIDE",Thiamethoxam / Fludioxonil / Metalaxyl-M,"22.61, 1.12, 1.7"
100-1248,Cruisermaxx Potato Insecticide And Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, INSECTICIDE",Thiamethoxam / Fludioxonil,"28, 7"
100-1250,Actara 240 Sc,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,21.6
100-1251,Lambda-Cyhalothrin 250 Cs Mup,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,lambda-Cyhalothrin,22.8
100-1253,Force Cs Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Tefluthrin,23.4
100-1254,Revus® Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Mandipropamide Technical,23.3
100-1256,Axial XL,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Pinoxaden,5.05
100-1259,Abamectin Technical II,N,100,"SYNGENTA CROP PROTECTION, LLC","NEMATICIDE, INSECTICIDE, MITICIDE",Abamectin,92
100-1260,Optigard Ant Gel Bait,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,0.01
100-1261,Thiamethoxam Ant Killer Gel,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,0.003
100-1262,Inspire,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Difenoconazole,23.2
100-1263,Mesotrione 28% Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Mesotrione,28
100-1264,0.25% Mesotrione On Fertilizer,N,100,"SYNGENTA CROP PROTECTION, LLC","FERTILIZER, HERBICIDE",Mesotrione,0.25
100-1265,0.19% Mesotrione On Fertilizer,N,100,"SYNGENTA CROP PROTECTION, LLC","FERTILIZER, HERBICIDE",Mesotrione,0.19
100-1266,0.08% Mesotrione On Fertilizer,N,100,"SYNGENTA CROP PROTECTION, LLC","FERTILIZER, HERBICIDE",Mesotrione,0.08
100-1267,Tenacity®,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Mesotrione,40
100-1268,Prefix Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,S-Metolachlor / Sodium salt of fomesafen,"46.4, 10.2"
100-1269,Ridomil Gold Mz Wg,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Mancozeb / Metalaxyl-M,"64, 4"
100-1270,Emamectin Benzoate Technical II,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Emamectin benzoate,97
100-1271,Mefenoxam 45Wp Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Metalaxyl-M,45
100-1275,Azoxy 0.31 Granular,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,0.31
100-1276,Endigo Zc,Y,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam / lambda-Cyhalothrin,"12.6, 9.48"
100-1278,Revus Top,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Mandipropamide Technical / Difenoconazole,"21.9, 21.9"
100-1280,Abamectin 500 Fs Mg,N,100,"SYNGENTA CROP PROTECTION, LLC",NEMATICIDE,Abamectin,46.3
100-1281,Mandipropamid Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Mandipropamide Technical,96
100-1282,Halex® Gt Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,S-Metolachlor / Mesotrione / Glyphosate,"20.5, 2.05, 20.5"
100-1283,Thx/Mxm/Fdl Cz,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, INSECTICIDE",Thiamethoxam / Fludioxonil / Metalaxyl-M,"21.5, 1.07, 3.21"
100-1285,Trio Cotton Seed Treatment Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Metalaxyl-M / Azoxystrobin,"1.11, 4.6, 6.64"
100-1286,Quartet Cotton Seed Treatment Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Metalaxyl-M / Azoxystrobin / Difenoconazole,"0.87, 2.62, 5.24, 0.35"
100-1287,Glyphosate Acid Technical 2,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Glyphosate,97
100-1288,Thiamethoxam Lawn & Landscape 0.33G,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,0.33
100-1289,Thiamethoxam Lawn & Landscape 0.22G,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,0.22
100-1290,Optigard Cockroach Gel Bait,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Emamectin benzoate,0.1
100-1291,Platinum 75 Sg Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,75
100-1294,Cruiser 70Ws Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,70
100-1295,Warrior II With Zeon Technology,Y,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,lambda-Cyhalothrin,22.8
100-1296,Lambda Cyhalothrin 122Cs,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,lambda-Cyhalothrin,11.4
100-1297,Prodiamine F 0.43% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Prodiamine,0.43
100-1298,Prodiamine F 0.38% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Prodiamine,0.38
100-1299,Prodiamine F O.28% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Prodiamine,0.28
100-1300,Prodiamine F 0.20% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Prodiamine,0.2
100-1305,Cruiser Maxx Cereals,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, INSECTICIDE",Thiamethoxam / Metalaxyl-M / Difenoconazole,"2.8, 0.56, 3.36"
100-1306,Optigard Flex Liquid,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam,21.6
100-1307,Orion Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,"MCPA, 2-ethylhexyl ester / Florasulam","42.25, 0.39"
100-1308,Graduate A+,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Azoxystrobin,"20.6, 20.6"
100-1309,Emamectin Benzoate 4.0% Tree Injection,Y,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Emamectin benzoate,4
100-1311,Quadris Ridomil Gold Sl,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Metalaxyl-M / Azoxystrobin,"45.3, 22.9"
100-1312,Inspire Xt,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole / Difenoconazole,"22.8, 22.8"
100-1313,Quadris Top Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin / Difenoconazole,"18.2, 11.4"
100-1314,Axial Tbc Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Florasulam / Pinoxaden,"0.75, 9"
100-1315,Renown Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, FUNGICIDE/FUNGISTAT",Chlorothalonil / Azoxystrobin,"45, 3"
100-1317,Inspire Super,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Difenoconazole / Cyprodinil,"8.4, 24.1"
100-1318,Durivo,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam / Chlorantraniliprole,"17.5, 8.8"
100-1319,Voliam Flexi Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Thiamethoxam / Chlorantraniliprole,"20, 20"
100-1320,Voliam Xpress Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Chlorantraniliprole / lambda-Cyhalothrin,"9.26, 4.63"
100-1321,Avicta Duo,Y,100,"SYNGENTA CROP PROTECTION, LLC","NEMATICIDE, INSECTICIDE",Thiamethoxam / Abamectin,"28.1, 12.4"
100-1322,Glyphosate Acid Technical 3,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Glyphosate,99
100-1323,Heritage G,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,0.31
100-1324,Quilt Xcel Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole / Azoxystrobin,"11.7, 13.5"
100-1326,Banner Maxx II,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole,14.3
100-1327,Alamo II,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Propiconazole,14.3
100-1328,Palladium,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Fludioxonil / Cyprodinil,"25, 37.5"
100-1333,Abamectin Tk (545),N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Abamectin,50
100-1337,Prodiamine Pro F 0.20% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Prodiamine,0.2
100-1338,Prodiamine Pro F 0.28% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Prodiamine,0.28
100-1339,Prodiamine Pro F 0.38% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Prodiamine,0.38
100-1340,Prodiamine Pro F 0.43% Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",nan,Prodiamine,0.43
100-1342,Vanquish Manufacturing Use Concentrate Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,"Dicamba, diglycolamine salt",56.8
100-1344,Diquat/Fluazifop-P-Butyl/Dicamba Me Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,"Dicamba, dimethylamine salt / Diquat dibromide / Fluazifop-P-butyl","0.67, 2.53, 0.84"
100-1345,Diquat/Fluazifop-P-Butyl/Dicamba Me Rtu,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,"Dicamba, dimethylamine salt / Diquat dibromide / Fluazifop-P-butyl","0.05, 0.2, 0.07"
100-1347,Concert II,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, BACTERIOCIDE, ALGAECIDE",Chlorothalonil / Propiconazole,"38.5, 2.9"
100-1348,Mesotrione 45% Manufacturing Use Product,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Mesotrione,45
100-1349,Mesotrione 50Wg,N,100,"SYNGENTA CROP PROTECTION, LLC",nan,Mesotrione,50
100-1350,Agri-Flex Miticide/Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Thiamethoxam / Abamectin,"13.9, 3"
100-1351,Agri-Mek Sc Miticide/Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Abamectin,8
100-1352,Maxim Quattro,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Thiabendazole / Fludioxonil / Metalaxyl-M / Azoxystrobin,"26.5, 3.32, 2.65, 1.33"
100-1353,Avicta Duo 250,Y,100,"SYNGENTA CROP PROTECTION, LLC","NEMATICIDE, INSECTICIDE",Thiamethoxam / Abamectin,"14.2, 11.3"
100-1357,Medallion II,N,100,"SYNGENTA CROP PROTECTION, LLC","ALGAECIDE, FUNGICIDE/FUNGISTAT",Fludioxonil,50
100-1359,Callisto Xtra,Y,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Atrazine / Mesotrione,"34.3, 5.36"
100-1361,Force Sb,Y,100,"SYNGENTA CROP PROTECTION, LLC",INSECTICIDE,Tefluthrin,19.1
100-1363,Bion 500Fs,N,100,"SYNGENTA CROP PROTECTION, LLC","FUNGICIDE, NEMATICIDE",Acibenzolar-s-methyl,42
